episode_id,scenario,policy,season,step,time,t_zone,t_amb,hour,day,a0_raw,a1_raw,t_zone_next,delta_t,p_total,rea_t_supply_c,rea_heat_pump_power_w,rea_fan_power_w,rea_pump_power_w,policy_temperature_like_command_c,adapter_heat_intensity,adapter_supply_setpoint_c,adapter_zone_setpoint_c,adapter_plant_enabled
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,0,900.0,19.845083876940578,6.987695312500023,0.25,0.010416666666666666,0.5479121208190918,-0.12224312126636505,19.96754197589854,0.12245809895796356,178201.47463807766,30.669929737216762,176724.43402391017,784.0876152698336,692.952998897632,31.15725302696228,0.7739560604095459,31.15725302696228,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,1,1800.0,19.96754197589854,6.9765625,0.5,0.020833333333333332,0.7171958684921265,0.39473605155944824,20.275053072269145,0.3075110963706038,159055.2262594414,32.66343264111538,157578.1856452739,784.0876152698818,692.952998897632,32.596164882183075,0.8585979342460632,32.596164882183075,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,2,2700.0,20.275053072269145,6.9677734375,0.75,0.03125,-0.8116453289985657,0.9512447118759155,20.370458986286224,0.09540591401707843,1477.0406141674916,24.36497081827872,0.0,784.0876152698595,692.952998897632,19.60101470351219,0.09417733550071716,19.60101470351219,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,3,3600.0,20.370458986286224,6.962499999999977,1.0,0.041666666666666664,0.5222793817520142,0.5721285939216614,20.45289260355952,0.08243361727329557,143641.2637659205,30.615771691288842,142164.22315175296,784.0876152699171,692.952998897632,30.93937474489212,0.7611396908760071,30.93937474489212,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,4,4500.0,20.45289260355952,6.9619140625,1.25,0.052083333333333336,-0.7437727451324463,-0.09922812134027481,20.446067061522,-0.006825542037518062,1477.0406141675107,23.747629275522115,0.0,784.0876152698786,692.952998897632,20.177931666374207,0.12811362743377686,20.177931666374207,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,5,5400.0,20.446067061522,6.967187500000023,1.5,0.0625,-0.2584039568901062,0.8535299897193909,20.359612993492135,-0.086454068029866,41923.365689596656,24.271938472460988,40446.32507542913,784.0876152698941,692.952998897632,24.303566366434097,0.3707980215549469,24.303566366434097,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,6,6300.0,20.359612993492135,6.9794921875,1.75,0.07291666666666667,0.28773024678230286,0.6455232501029968,20.388672580297623,0.029059586805487925,117358.07655495314,28.69194923531046,115881.0359407858,784.0876152697082,692.9529988976309,28.945707097649574,0.6438651233911514,28.945707097649574,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,7,7200.0,20.388672580297623,7.0,2.0,0.08333333333333333,-0.11317159980535507,-0.5455225706100464,20.414219905771006,0.025547325473382898,47114.430984513674,25.76462368732558,45637.39037034617,784.0876152698667,692.9529988976326,25.538041401654482,0.44341420009732246,25.538041401654482,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,8,8100.0,20.414219905771006,7.024999999999977,2.25,0.09375,0.10916957259178162,-0.8723654747009277,20.43126659867329,0.017046692902283667,84936.35250515328,27.331041695089766,83459.31189098576,784.0876152698902,692.9529988976326,27.427941367030144,0.5545847862958908,27.427941367030144,21.0,1.0
Jan_Winter_random_00,Jan_Winter,random,Jan_Winter,9,9000.0,20.43126659867329,7.050000000000011,2.5,0.10416666666666667,0.6552623510360718,0.26332879066467285,20.563719378565224,0.13245277989193482,153797.47972244446,31.80763212744347,152320.43910827694,784.0876152698747,692.9529988976326,32.06972998380661,0.8276311755180359,32.06972998380661,21.0,1.0
